Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,14.52,2,0.00017490161783996502,0.02299956274595538
Standard Deviation,14.54,4,0.00034980323567993004,0.022824661128115414
Standard Deviation,14.55,5,0.00043725404459991256,0.022474857892435484
Standard Deviation,14.56,3,0.0002623524267599475,0.022037603847835572
Standard Deviation,14.57,4,0.00034980323567993004,0.021775251421075625
Standard Deviation,14.58,4,0.00034980323567993004,0.021425448185395695
Standard Deviation,14.59,1,8.745080891998251e-05,0.021075644949715765
Standard Deviation,14.6,4,0.00034980323567993004,0.020988194140795783
Standard Deviation,14.61,3,0.0002623524267599475,0.020638390905115853
Standard Deviation,14.62,2,0.00017490161783996502,0.020376038478355906
Standard Deviation,14.63,2,0.00017490161783996502,0.02020113686051594
Standard Deviation,14.64,1,8.745080891998251e-05,0.020026235242675976
Standard Deviation,14.65,3,0.0002623524267599475,0.019938784433755994
Standard Deviation,14.66,8,0.0006996064713598601,0.019676432006996047
Standard Deviation,14.67,1,8.745080891998251e-05,0.018976825535636187
Standard Deviation,14.68,1,8.745080891998251e-05,0.018889374726716205
Standard Deviation,14.7,3,0.0002623524267599475,0.018801923917796223
Standard Deviation,14.72,4,0.00034980323567993004,0.018539571491036275
Standard Deviation,14.73,2,0.00017490161783996502,0.018189768255356346
Standard Deviation,14.74,2,0.00017490161783996502,0.01801486663751638
Standard Deviation,14.76,6,0.000524704853519895,0.017839965019676416
Standard Deviation,14.77,2,0.00017490161783996502,0.01731526016615652
Standard Deviation,14.78,2,0.00017490161783996502,0.017140358548316557
Standard Deviation,14.79,1,8.745080891998251e-05,0.016965456930476592
Standard Deviation,14.8,4,0.00034980323567993004,0.01687800612155661
Standard Deviation,14.81,5,0.00043725404459991256,0.01652820288587668
Standard Deviation,14.82,1,8.745080891998251e-05,0.016090948841276768
Standard Deviation,14.83,1,8.745080891998251e-05,0.016003498032356785
Standard Deviation,14.84,1,8.745080891998251e-05,0.015916047223436803
Standard Deviation,14.85,1,8.745080891998251e-05,0.01582859641451682
