Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,17.39,1,0.0008368200836820083,0.5271966527196691
Standard Deviation,17.41,2,0.0016736401673640166,0.5263598326359871
Standard Deviation,17.42,2,0.0016736401673640166,0.524686192468623
Standard Deviation,17.44,4,0.0033472803347280333,0.523012552301259
Standard Deviation,17.45,3,0.002510460251046025,0.5196652719665309
Standard Deviation,17.47,3,0.002510460251046025,0.5171548117154848
Standard Deviation,17.49,1,0.0008368200836820083,0.5146443514644388
Standard Deviation,17.5,2,0.0016736401673640166,0.5138075313807567
Standard Deviation,17.51,2,0.0016736401673640166,0.5121338912133927
Standard Deviation,17.53,2,0.0016736401673640166,0.5104602510460287
Standard Deviation,17.54,1,0.0008368200836820083,0.5087866108786646
Standard Deviation,17.55,1,0.0008368200836820083,0.5079497907949826
Standard Deviation,17.56,1,0.0008368200836820083,0.5071129707113006
Standard Deviation,17.58,2,0.0016736401673640166,0.5062761506276185
Standard Deviation,17.59,2,0.0016736401673640166,0.5046025104602545
Standard Deviation,17.61,1,0.0008368200836820083,0.5029288702928905
Standard Deviation,17.62,1,0.0008368200836820083,0.5020920502092084
Standard Deviation,17.64,1,0.0008368200836820083,0.5012552301255264
Standard Deviation,17.65,1,0.0008368200836820083,0.5004184100418444
Standard Deviation,17.66,2,0.0016736401673640166,0.49958158995816243
Standard Deviation,17.67,1,0.0008368200836820083,0.4979079497907984
Standard Deviation,17.69,1,0.0008368200836820083,0.49707112970711637
Standard Deviation,17.7,3,0.002510460251046025,0.49623430962343434
Standard Deviation,17.72,2,0.0016736401673640166,0.49372384937238833
Standard Deviation,17.75,1,0.0008368200836820083,0.4920502092050243
Standard Deviation,17.77,1,0.0008368200836820083,0.49121338912134227
Standard Deviation,17.81,1,0.0008368200836820083,0.49037656903766025
Standard Deviation,17.86,2,0.0016736401673640166,0.4895397489539782
Standard Deviation,17.87,3,0.002510460251046025,0.4878661087866142
Standard Deviation,17.89,1,0.0008368200836820083,0.4853556485355682
Standard Deviation,17.93,2,0.0016736401673640166,0.48451882845188615
Standard Deviation,17.94,3,0.002510460251046025,0.4828451882845221
Standard Deviation,17.95,1,0.0008368200836820083,0.4803347280334761
Standard Deviation,17.96,3,0.002510460251046025,0.4794979079497941
Standard Deviation,17.97,2,0.0016736401673640166,0.47698744769874807
Standard Deviation,17.98,1,0.0008368200836820083,0.475313807531384
Standard Deviation,17.99,1,0.0008368200836820083,0.474476987447702
Standard Deviation,18.02,1,0.0008368200836820083,0.47364016736402
Standard Deviation,18.03,3,0.002510460251046025,0.47280334728033796
Standard Deviation,18.04,1,0.0008368200836820083,0.47029288702929195
Standard Deviation,18.07,1,0.0008368200836820083,0.46945606694560993
Standard Deviation,18.08,1,0.0008368200836820083,0.4686192468619279
Standard Deviation,18.1,1,0.0008368200836820083,0.4677824267782459
Standard Deviation,18.11,1,0.0008368200836820083,0.46694560669456386
Standard Deviation,18.12,1,0.0008368200836820083,0.46610878661088184
Standard Deviation,18.13,2,0.0016736401673640166,0.4652719665271998
Standard Deviation,18.17,1,0.0008368200836820083,0.4635983263598358
Standard Deviation,18.18,1,0.0008368200836820083,0.46276150627615376
Standard Deviation,18.19,1,0.0008368200836820083,0.46192468619247173
Standard Deviation,18.21,3,0.002510460251046025,0.4610878661087897
Standard Deviation,18.23,1,0.0008368200836820083,0.4585774058577437
Standard Deviation,18.25,2,0.0016736401673640166,0.4577405857740617
Standard Deviation,18.26,3,0.002510460251046025,0.45606694560669764
Standard Deviation,18.28,1,0.0008368200836820083,0.45355648535565163
Standard Deviation,18.29,1,0.0008368200836820083,0.4527196652719696
Standard Deviation,18.31,1,0.0008368200836820083,0.4518828451882876
Standard Deviation,18.32,1,0.0008368200836820083,0.45104602510460556
Standard Deviation,18.33,3,0.002510460251046025,0.45020920502092354
Standard Deviation,18.34,1,0.0008368200836820083,0.44769874476987753
Standard Deviation,18.35,1,0.0008368200836820083,0.4468619246861955
Standard Deviation,18.36,1,0.0008368200836820083,0.4460251046025135
Standard Deviation,18.37,2,0.0016736401673640166,0.44518828451883147
Standard Deviation,18.38,1,0.0008368200836820083,0.4435146443514674
Standard Deviation,18.39,1,0.0008368200836820083,0.4426778242677854
Standard Deviation,18.4,1,0.0008368200836820083,0.4418410041841034
Standard Deviation,18.42,2,0.0016736401673640166,0.44100418410042136
Standard Deviation,18.43,1,0.0008368200836820083,0.4393305439330573
Standard Deviation,18.44,2,0.0016736401673640166,0.4384937238493753
Standard Deviation,18.48,1,0.0008368200836820083,0.43682008368201125
